#TAG;MARK;NAME;DESCRIPTION;CATEGORY;SECTION;NOTE
;rice;ssh-askpass;under X, asks user for a passphrase for ssh-add;;net;configure SUDO_ASKPASS env (man sudo.conf)
;;sshfs;filesystem client based on SSH File Transfer Protocol;;utils;
;;stardict;International dictionary;;utils;
;;stress;tool to impose load on and stress test a computer system;;devel;
;rice;surf;Simple web browser by suckless community;web browser;web;
;rice;sxhkd;Simple X hotkey daemon;;x11;
;rice;sxiv;simple X image viewer;image viewer;graphics;
;;synaptic;graphical package manager;package manager;admin;
;;tar;GNU version of the tar archiving utility;;utils;
;rice;taskd;Synchronisation server for taskwarrior;;utils;
;rice;tasksh; shell command that wraps Taskwarrior commands;;utils;taskwarrior required
;rice;taskwarrior;feature-rich console based todo list manager;;utils;https://www.youtube.com/watch?v=zl68asL9jZA
;rice;telegram-desktop;official telegram messaging app;messenger;net;
p;;timeshift;system restore utility;;;https://github.com/teejee2008/timeshift
;rice;tlp tlp-rdw tlpui;advanced power management tool for Linux;power management;utils;
;;tmux;terminal multiplexer;;admin;
;rice;tree;displays an indented directory tree, in color;;utils;
;;ufw;program for managing a Netfilter firewall;;admin;
;;uget;easy-to-use download manager written in GTK+;;net;
;rice;unclutter;hides the mouse cursor in X after a period of inactivity;;x11;
;rice;unrar;Unarchiver for .rar files (non-free version);;non-free/utils;
;rice;unzip;De-archiver for .zip files;;utils;
;rice;urlscan;Extract and browse the URLs contained in an email (urlview replacement);;mail;
;rice;vifm;flexible vi-like file manager using ncurses;;utils;
;rice;vim;Vi IMproved - enhanced vi editor;;editors;
p;rice;virtualbox;virtual machine;virtual machine;;https://www.virtualbox.org/
;rice;w3m;WWW browsable pager with excellent tables/frames support;;web;
;rice;wavemon;Wireless Device Monitoring Application;;net;
p;;webmin;web-based interface for system administration for Unix;;;http://www.webmin.com/
;;wget;retrieves files from the web;;web;
p;;Wing Pro IDE;full-featured Python IDE designed for professional developers;;;https://wingware.com/
;;xbacklight;simple utility to set the backlight level;;x11;
;;xcalib;Tiny monitor calibration loader for Xorg;;x11;
;rice;xcalib;Tiny monitor calibration loader for Xorg;;x11;xcalib -d :0 .local/share/color/AUO_B140HAN01.3-26.icm
;rice;xclip;command line interface to X selections;;x11;
;rice;xclip;command line interface to X selections;;x11;
;rice;xdotool;simulate (generate) X11 keyboard/mouse input events;;x11;
;rice;xfce4-terminal;Xfce terminal emulator;;xfce;
;rice;xinput;Runtime configuration and test of XInput devices;;x11;
;rice;xosd-bin;X On-Screen Display library - binary files;;x11;osd_cat tool
;rice;xserver-xorg-input-synaptics;Synaptics TouchPad driver for X.Org server;;x11;
;rice;xterm;X terminal emulator;;x11;
;;youtube-dl;downloader of videos from YouTube and other sites;;web;
p;;youtube-viewer;a lightweight application for searching and streaming videos from YouTube;;;https://github.com/trizen/youtube-viewer
;rice;zathura;document viewer with a minimalistic interface;;text;
;rice;zathura-djvu;DjVu support for zathura;;text;
